COD_ACCIDE;FechaDelAccidente;HoraDelAccidente;ClaseDelAccidente;SecuenciaAccidente;CantidadDeFallecidos;CantidadDeLesionados;Direccion;LugarReferencia;y;x;CondClimatica;CausaFactorPrincipal;CausaEspecifica;OtraCausa;Observaciones
A-2021-01-108;11/01/2021;10:00;CHOQUE;VOLCADURA;1;0;CARRETERA MARCONA A YANYARINA ALTURA DEL KM. 07;-;-15.3799072;-75.13640471810838;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-01-109;10/01/2021;02:30;ATROPELLO;;1;0;CARRETERA PANAMERICANA NORTE ANTIGUA KM. 67 100;MINISTERIO PUBLICO MOTUPE;-6.145723;-79.718245;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-01-114;14/01/2021;00:10;VOLCADURA;CAIDA DE OCUPANTE;1;0;CARRETERA DEL DISTRITO DE POSIC AL CASERIO SANTA ELENA;FRENTE AL FUNDO JUNIN;-5.986513;-77.189591;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;HUNDIMIENTO DE LA CALZADA CON UN ÁREA DE 05.00X 04.30 METROS
A-2021-01-119;12/01/2021;12:00;DESPISTE;CON SUBSECUENTE MUERTE;1;0;SECTOR DE AMAHUANAI;POSO DE OXIDACION  SECTOR DE AMAHUANAI;-16.144516;-70.5461854;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;CONDUCTOR SE DESPISTE HACIA EL POSO DE OXIDACCION DEL SECTOR DE AMAHUANAI DEL DISTRITO DE ICHUÑA. 
A-2021-01-120;16/01/2021;16:00;CHOQUE;--;1;0;CARRETERA CAJAMARCA- CHOTA;KM. 190- SAN ANTONIO ALTO;-6.644675;-78.562526;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL;;
A-2021-01-121;17/01/2021;04:00;DESPISTE;VOLCADURA;1;0;CARRETERA CAJAMARCA- BAMBAMARCA;INGRESO A LA PECURIA Y ESTADIO;-6.68536;-78.535275;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-01-122;12/01/2021;11:10;CHOQUE;-;1;1;CARRETERA PANAMERICANA NORTE ;KM. 66 700;-6.152203;-79.710059;SOLEADO;NO IDENTIFICA LA CAUSA;;;
A-2021-01-123;17/01/2021;23:40;CHOQUE;POR ALCANCE CON CONSECUENCIA DE MUERTE;1;1;CARRETERA FBT KM. 04;HELADERIA YAPA;-9.267493;-75.989647;LLUVIOSO;NO IDENTIFICA LA CAUSA;;;NINGUNA
A-2021-01-125;14/01/2021;19:30;CHOQUE;POR EMBISTE CENTRICO IZQUIERDO Y DESPISTE PARCIAL;1;1;CARRETERA FBT KM 742;;-7.073887319;-76.72643989863553;LLUVIOSO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;NINGUNA
A-2021-01-129;17/01/2021;08:00;CAÍDA DE PASAJERO;ATROPELLO ;1;0;AV.MANCO CAPAC CUADRA N° 07;FRENTE APN ;-12.05437213;-77.14261674714892;DESPEJADO;IMPRUDENCIA DEL PEATÓN;OTRO (IMPRUDENCIA DEL PEATÓN);EL PEATON SE SUBIO AL SEMIREMOLQUE ;NINGUNO
A-2021-01-131;18/01/2021;06:30;DESPISTE;DESPISTE, VOLCADURA Y SUMERSIÓN CON CONSECUENCIA FATAL ;3;0;CARRETERA FERNANDO BELAUNDE TERRY KM. 544;CASERIO MILANO;-8.746876;-76.16051;LLUVIOSO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN SENTIDO CONTRARIO;;NINGUNA
A-2021-01-138;17/01/2021;16:00;CHOQUE FUGA;CHOQUE POR TOPETAZO- VOLCADURA- CAÍDA DE CONDUCTOR Y OCUPANTE-MUERTE DE OCUPANTE, FUGA DEL CONDUCTOR DE LA UT2;1;1;CARRETERA CHACHAPOYAS - JAZÁN KM. 11 500;;-6.022337627;-77.95092654049742;DESPEJADO;NO IDENTIFICA LA CAUSA;;;SE ENCUENTRA PENDIENTE EL PERITAJE DE DAÑO, RESULTADO DE LA PERICIA DE DOSAJE ETÍLICO Y EL INFORME TÉCNICO
A-2021-01-139;14/01/2021;18:30;CHOQUE;FATAL;1;1;AV PANAMERICANA ;HOTEL EXTREMOS;-13.6148215;-72.86526021208026;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;LA VIA SE ENCUENTRA EN BUENAS CONDICIONES
A-2021-01-140;11/01/2021;10:25;CHOQUE;SEGUIDO DE VOLCADURA CON CAÍDA DE CONDUCTOR CON CONSECUENCIA FATAL, LESIONES PERSONALES Y DAÑOS MATERIALES ;1;1;CARRETERA BINACIONAL KM.09;"AL FRONTIS DE LA CLÍNICA ""GALENO""";-17.192137;-70.918786;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL;;CONDUCTOR DEL VEHICULO DE PLACA DE RODAJE V3K-511 INVADE CARRIL CONTRARIO DE CIRCULACION, OCASIONANDO LA CADENA DE EVENTOS. 
A-2021-01-141;17/01/2021;16:30;DESPISTE;FATAL;1;1;CARRETERA KARKATERA;SALIDA DEL PRIMER TUNEL DE KARKATERA;-13.5640123;-72.9789162;NIEBLA;IMPRUDENCIA DEL CONDUCTOR;FATIGA Y/O CANSANCIO;;CONDUCTOR PERDIO EL CONTROL DE SU UNIDAD MOVIL 
A-2021-01-148;13/01/2021;19:30;CHOQUE;MUERTE DE PEATON;1;1;CARRETERA CENTRAL-LA OROYA - CERRO DE PASCO;-;-10.8866919;-76.0892939;LLUVIOSO;;;;
A-2021-01-149;19/01/2021;21:21;DESPISTE;CHOQUE;1;1;CARRETERA PANAMERICANA SUR KM. 293 - ICA;GRIFO HUASCARAN;-14.001949;-75.767842;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-01-152;15/01/2021;08:15;CHOQUE;-;1;0;INTERSECCION DE LAS CALLES GUADALUPE VICTORIA CON BARTOLOME DE LAS CASAS ;COMPLEJO MODELO;-8.081327;-79.04702;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-01-153;08/01/2021;20:00;CHOQUE;-;1;0;AV. MARTIRES DEL 4 DE NOVIEMBRE CON AV. AMERICA;SALIDA A PUNO;-15.511687;-70.125365;LLUVIOSO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;ACCIDENTE DE TRANSITO CHOQUE, PERSONA FALLECIDA LUEGO DE VARIAS DÍAS 
A-2021-01-157;21/01/2021;18:40;ATROPELLO;MUERTE DEL PEATON;1;0;AV. 9 DE DICIEMBRE N°288-260;-;-12.0831302;-75.2030827;DESPEJADO;;;;
