ubigeo,departamento,provincia,distrito,slug,tipo,excel_relpath
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS-CHACHAPOYAS-CHACHAPOYAS,A,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-CHACHAPOYAS.xlsx
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,AMAZONAS-CHACHAPOYAS-ASUNCION,F,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-ASUNCION.xlsx
010103,AMAZONAS,CHACHAPOYAS,BALSAS,AMAZONAS-CHACHAPOYAS-BALSAS,G,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-BALSAS.xlsx
010104,AMAZONAS,CHACHAPOYAS,CHETO,AMAZONAS-CHACHAPOYAS-CHETO,F,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-CHETO.xlsx
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,AMAZONAS-CHACHAPOYAS-CHILIQUIN,G,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-CHILIQUIN.xlsx
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AMAZONAS-CHACHAPOYAS-CHUQUIBAMBA,G,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-CHUQUIBAMBA.xlsx
010107,AMAZONAS,CHACHAPOYAS,GRANADA,AMAZONAS-CHACHAPOYAS-GRANADA,F,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-GRANADA.xlsx
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,AMAZONAS-CHACHAPOYAS-HUANCAS,E,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-HUANCAS.xlsx
010109,AMAZONAS,CHACHAPOYAS,LA_JALCA,AMAZONAS-CHACHAPOYAS-LA_JALCA,F,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-LA_JALCA.xlsx
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,AMAZONAS-CHACHAPOYAS-LEIMEBAMBA,E,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-LEIMEBAMBA.xlsx
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,AMAZONAS-CHACHAPOYAS-LEVANTO,F,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-LEVANTO.xlsx
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,AMAZONAS-CHACHAPOYAS-MAGDALENA,E,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-MAGDALENA.xlsx
010113,AMAZONAS,CHACHAPOYAS,MARISCAL_CASTILLA,AMAZONAS-CHACHAPOYAS-MARISCAL_CASTILLA,E,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-MARISCAL_CASTILLA.xlsx
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,AMAZONAS-CHACHAPOYAS-MOLINOPAMPA,G,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-MOLINOPAMPA.xlsx
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,AMAZONAS-CHACHAPOYAS-MONTEVIDEO,E,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-MONTEVIDEO.xlsx
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,AMAZONAS-CHACHAPOYAS-OLLEROS,F,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-OLLEROS.xlsx
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,AMAZONAS-CHACHAPOYAS-QUINJALCA,G,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-QUINJALCA.xlsx
010118,AMAZONAS,CHACHAPOYAS,SAN_FRANCISCO_DE_DAGUAS,AMAZONAS-CHACHAPOYAS-SAN_FRANCISCO_DE_DAGUAS,E,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-SAN_FRANCISCO_DE_DAGUAS.xlsx
010119,AMAZONAS,CHACHAPOYAS,SAN_ISIDRO_DE_MAINO,AMAZONAS-CHACHAPOYAS-SAN_ISIDRO_DE_MAINO,E,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-SAN_ISIDRO_DE_MAINO.xlsx
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,AMAZONAS-CHACHAPOYAS-SOLOCO,G,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-SOLOCO.xlsx
010121,AMAZONAS,CHACHAPOYAS,SONCHE,AMAZONAS-CHACHAPOYAS-SONCHE,F,ZonasEscolares/excels/AMAZONAS-CHACHAPOYAS-SONCHE.xlsx
010201,AMAZONAS,BAGUA,BAGUA,AMAZONAS-BAGUA-BAGUA,A,ZonasEscolares/excels/AMAZONAS-BAGUA-BAGUA.xlsx
010202,AMAZONAS,BAGUA,ARAMANGO,AMAZONAS-BAGUA-ARAMANGO,G,ZonasEscolares/excels/AMAZONAS-BAGUA-ARAMANGO.xlsx
010203,AMAZONAS,BAGUA,COPALLIN,AMAZONAS-BAGUA-COPALLIN,F,ZonasEscolares/excels/AMAZONAS-BAGUA-COPALLIN.xlsx
010204,AMAZONAS,BAGUA,EL_PARCO,AMAZONAS-BAGUA-EL_PARCO,F,ZonasEscolares/excels/AMAZONAS-BAGUA-EL_PARCO.xlsx
010205,AMAZONAS,BAGUA,IMAZA,AMAZONAS-BAGUA-IMAZA,G,ZonasEscolares/excels/AMAZONAS-BAGUA-IMAZA.xlsx
010206,AMAZONAS,BAGUA,LA_PECA,AMAZONAS-BAGUA-LA_PECA,F,ZonasEscolares/excels/AMAZONAS-BAGUA-LA_PECA.xlsx
010301,AMAZONAS,BONGARA,JUMBILLA,AMAZONAS-BONGARA-JUMBILLA,B,ZonasEscolares/excels/AMAZONAS-BONGARA-JUMBILLA.xlsx
