Codigo_Unico;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;nombre_establecimiento;Direccion;Categoria;Competencia_Via;Competencia Administrativa;Siniestros_fatales
3568;50105;AYACUCHO;HUAMANGA;CHIARA;-13.46444427;-74.10025174;PUESTO DE SALUD SACHABAMBA;PLAZA PLAZA PRINCIPAL S/N NUMERO S/N DISTRITO CHIARA PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
3595;50108;AYACUCHO;HUAMANGA;QUINUA;-13.04955333;-74.140475;CENTRO DE SALUD QUINUA;JR. BOLIVAR S/N NUMERO S/N DISTRITO QUINUA PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-3;PROVINCIAL;DISTRITAL;0
3596;50108;AYACUCHO;HUAMANGA;QUINUA;-13.05389879;-74.16858016;PUESTO DE SALUD LLAMAHUILLCA;OTROS COMUNIDAD DE LLAMAHUILLCA DISTRITO QUINUA PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
30170;120101;JUNIN;HUANCAYO;HUANCAYO;-12.068126;-75.21320708;CONSULTORIO MEDICO ESPECIALIZADO PERUANA DEL CENTRO;CUZCO NUMERO 636 DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN;I-2;DISTRITAL;PROVINCIAL;0
28605;150133;LIMA;LIMA;SAN JUAN DE MIRAFLORES;-12.15931429;-76.95683093;POLICLINICO SAN GABRIEL  VMT;OTROS MZ. Q4  LT. 02, PUEBLO JOVEN JOSE CARLOS MARIATEGUI - IV SECTOR, SAN JUANITO DISTRITO SAN JUAN DE MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA;I-3;PROVINCIAL;DISTRITAL;0
28969;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;-6.2301547;-77.8708478;CONSULTORIO ODONTOLAìGICO TORRES;SACHAPUYOS NUMERO 140 PISO 1 DISTRITO CHACHAPOYAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS;I-1;PROVINCIAL;PROVINCIAL;0
22082;40129;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;-16.42920633;-71.52501847;"CONSULTORIO ODONTOLOGICO ""ODONTOCENTER""";OTROS URB. PEDRO DIEZ CANSECO Z-18 J.L.B.Y RIVERO DISTRITO JOSE LUIS BUSTAMANTE Y RIVERO PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-1;PROVINCIAL;DISTRITAL;0
23197;200101;PIURA;PIURA;PIURA;-5.1782884;-80.6548882;CLINICA DE ESPECIALIDADES MEDICAS SAN MIGUEL ARCANGEL;CALLE C 5 C 5 SAN FELIPE COSTADO - UDEP PIURA PIURA PIURA;I-3;DISTRITAL;PROVINCIAL;0
2922;230101;TACNA;TACNA;TACNA;-18.06886603;-70.29363645;PUESTO DE SALUD HABITAT;CALLE CIUDAD DE DIOS  CALLE LOS PALTOS S/N  OU S/N CIUDAD DE DIOS  CALLE LOS PALTOS S/N  OU TACNA TACNA TACNA;I-2;DISTRITAL;PROVINCIAL;0
29315;60801;CAJAMARCA;JAEN;JAEN;-5.7072801;-78.8057389;CONSULTORIO MEDICO ESPECIALIZADO DR. ARANDA;CALLE MARISCAL URETA NUMERO 971 DISTRITO JAEN PROVINCIA JAEN DEPARTAMENTO CAJAMARCA;I-2;PROVINCIAL;PROVINCIAL;0
29321;60801;CAJAMARCA;JAEN;JAEN;-5.7066181;-78.805023;CONSULTORIO GINECO OBSTETRICO NUESTRA SEAëORA DE GUADALUPE;PROLONGACION HUAMANTANGA NUMERO 871 PISO 1 DISTRITO JAEN PROVINCIA JAEN DEPARTAMENTO CAJAMARCA;I-2;PROVINCIAL;PROVINCIAL;0
17740;70101;CALLAO;CALLAO;CALLAO;-12.00179246;-77.10766776;POLICLINICO SANTO DOMINGO;OTROS MZ I LOTE 1 URB EL ALAMO DISTRITO CALLAO PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-3;PROVINCIAL;PROVINCIAL;0
