ID_INT;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;Vias;TIPO_REDVIAL;Competencia_Via;Competencia_Administrativa;Siniestro_fatal
I-122569;150111;LIMA;LIMA;EL AGUSTINO;-12.0347449;-77.00326555;AV. LAS MAGNOLIAS CDRA. 04/JR. CANTUTA;NO ASIGNADO;DISTRITAL;DISTRITAL;0
I-12344;080901;CUSCO;LA CONVENCION;SANTA ANA;-12.8627113;-72.69256569;Martin Pio Concha - jr. Independencia - jr. Dos de Mayo- Av. General Gamarra;NO ASIGNADO;DISTRITAL;PROVINCIAL;0
I-134088;180301;MOQUEGUA;ILO;ILO;-17.658639;-71.341433;Interseccion de Carretera Panamericana con Av. PEDRO HUILCA;NO ASIGNADO;DISTRITAL;PROVINCIAL;0
I-183850;131201;LA LIBERTAD;VIRU;VIRU;-8.415266;-78.752767;Calle Independencia con Calle Libertad;VECINAL;DISTRITAL;PROVINCIAL;0
I-267002;160601;LORETO;UCAYALI;CONTAMANA;-7.3474001;-75.0114577;Calle Samuel barsesath y calle amazonas;NO ASIGNADO;DISTRITAL;PROVINCIAL;0
I-267964;150811;LIMA;HUAURA;SAYAN;-11.1487941;-77.2460083;CETI ANDAHUASI - SAYAN;VECINAL;DISTRITAL;DISTRITAL;0
I-269043;021809;ANCASH;SANTA;NUEVO CHIMBOTE;-9.137404;-78.505246;Av pacífico con av. Alcatraces;NO ASIGNADO;DISTRITAL;DISTRITAL;0
I-274835;150811;LIMA;HUAURA;SAYAN;-11.134655;-77.191149;Elias Ipince - Sayan;NO ASIGNADO;DISTRITAL;DISTRITAL;0
I-353042;131201;LA LIBERTAD;VIRU;VIRU;-8.466594;-78.8588;Carretera Valdemar con Carretera de penetracion al Carmelo  Los Laureles;NO ASIGNADO;DISTRITAL;PROVINCIAL;1
I-439851;150811;LIMA;HUAURA;SAYAN;-11.235412;-77.381778;IRRIGACION SANTA ROSA - SAYAN;NO ASIGNADO;DISTRITAL;DISTRITAL;0
I-52417;220901;SAN MARTIN;SAN MARTIN;TARAPOTO;-6.482555415;-76.36530484;Jr. San Martín intersección con Jr. Tomás Villacorta;NO ASIGNADO;DISTRITAL;PROVINCIAL;0
I-52850;220910;SAN MARTIN;SAN MARTIN;MORALES;-6.48495498;-76.3852716;JR JOSE GALVEZ CDRA 7 CON FRANCISCO TORRES. CDR 1;NO ASIGNADO;DISTRITAL;DISTRITAL;0
I-63129;110106;ICA;ICA;PARCONA;-14.0437191;-75.6992263;Calle DOMINGO ELIAS CON RAUL PORRAS;NO ASIGNADO;DISTRITAL;DISTRITAL;1
I-93943;150143;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;-12.22479534;-76.90737343;JR. JORGE CHAVEZ CON JR. MIGUEL GRAU;NO ASIGNADO;DISTRITAL;DISTRITAL;0
I-98024;150118;LIMA;LIMA;LURIGANCHO;-11.93711813;-76.69941173;Cruce de jr cUsco con jr Iquitos;NO ASIGNADO;DISTRITAL;DISTRITAL;0
l-10009;150140;LIMA;LIMA;SANTIAGO DE SURCO;-12.116941;-76.983315;ALAMEDA MONTE UMBROSO CON JR. CONDE DE LA VEGA DELREN;NO ASIGNADO;DISTRITAL;DISTRITAL;0
l-49770;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;-6.2333927;-77.867265;Hermosura / Sociego;NO ASIGNADO;DISTRITAL;PROVINCIAL;1
l-120254;021801;ANCASH;SANTA;CHIMBOTE;-9.0744678;-78.5768563;Avenida Camino Real / Jr. Miguel Grau;NO ASIGNADO;DISTRITAL;PROVINCIAL;1
l-120255;021801;ANCASH;SANTA;CHIMBOTE;-9.0743835;-78.5768533;Avenida Camino Real / Jr. Miguel Grau;NO ASIGNADO;DISTRITAL;PROVINCIAL;1
