ubigeo_gestor,slug,excel_relpath,departamento,provincia,distrito
010101,AMAZONAS-CHACHAPOYAS-CHACHAPOYAS,Intersecciones/excels/AMAZONAS-CHACHAPOYAS-CHACHAPOYAS.xlsx,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
020601,ANCASH-CARHUAZ-CARHUAZ,Intersecciones/excels/ANCASH-CARHUAZ-CARHUAZ.xlsx,ANCASH,CARHUAZ,CARHUAZ
020606,ANCASH-CARHUAZ-MARCARA,Intersecciones/excels/ANCASH-CARHUAZ-MARCARA.xlsx,ANCASH,CARHUAZ,MARCARA
021601,ANCASH-POMABAMBA-POMABAMBA,Intersecciones/excels/ANCASH-POMABAMBA-POMABAMBA.xlsx,ANCASH,POMABAMBA,POMABAMBA
021801,ANCASH-SANTA-CHIMBOTE,Intersecciones/excels/ANCASH-SANTA-CHIMBOTE.xlsx,ANCASH,SANTA,CHIMBOTE
021803,ANCASH-SANTA-COISHCO,Intersecciones/excels/ANCASH-SANTA-COISHCO.xlsx,ANCASH,SANTA,COISHCO
021809,ANCASH-SANTA-NUEVO_CHIMBOTE,Intersecciones/excels/ANCASH-SANTA-NUEVO_CHIMBOTE.xlsx,ANCASH,SANTA,NUEVO_CHIMBOTE
030201,APURIMAC-ANDAHUAYLAS-ANDAHUAYLAS,Intersecciones/excels/APURIMAC-ANDAHUAYLAS-ANDAHUAYLAS.xlsx,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
030213,APURIMAC-ANDAHUAYLAS-SAN_JERONIMO,Intersecciones/excels/APURIMAC-ANDAHUAYLAS-SAN_JERONIMO.xlsx,APURIMAC,ANDAHUAYLAS,SAN_JERONIMO
030602,APURIMAC-CHINCHEROS-ANCO_HUALLO,Intersecciones/excels/APURIMAC-CHINCHEROS-ANCO_HUALLO.xlsx,APURIMAC,CHINCHEROS,ANCO_HUALLO
040102,AREQUIPA-AREQUIPA-ALTO_SELVA_ALEGRE,Intersecciones/excels/AREQUIPA-AREQUIPA-ALTO_SELVA_ALEGRE.xlsx,AREQUIPA,AREQUIPA,ALTO_SELVA_ALEGRE
040101,AREQUIPA-AREQUIPA-AREQUIPA,Intersecciones/excels/AREQUIPA-AREQUIPA-AREQUIPA.xlsx,AREQUIPA,AREQUIPA,AREQUIPA
040103,AREQUIPA-AREQUIPA-CAYMA,Intersecciones/excels/AREQUIPA-AREQUIPA-CAYMA.xlsx,AREQUIPA,AREQUIPA,CAYMA
040104,AREQUIPA-AREQUIPA-CERRO_COLORADO,Intersecciones/excels/AREQUIPA-AREQUIPA-CERRO_COLORADO.xlsx,AREQUIPA,AREQUIPA,CERRO_COLORADO
040105,AREQUIPA-AREQUIPA-CHARACATO,Intersecciones/excels/AREQUIPA-AREQUIPA-CHARACATO.xlsx,AREQUIPA,AREQUIPA,CHARACATO
040107,AREQUIPA-AREQUIPA-JACOBO_HUNTER,Intersecciones/excels/AREQUIPA-AREQUIPA-JACOBO_HUNTER.xlsx,AREQUIPA,AREQUIPA,JACOBO_HUNTER
040129,AREQUIPA-AREQUIPA-JOSE_LUIS_BUSTAMANTE_Y_RIVERO,Intersecciones/excels/AREQUIPA-AREQUIPA-JOSE_LUIS_BUSTAMANTE_Y_RIVERO.xlsx,AREQUIPA,AREQUIPA,JOSE_LUIS_BUSTAMANTE_Y_RIVERO
040108,AREQUIPA-AREQUIPA-LA_JOYA,Intersecciones/excels/AREQUIPA-AREQUIPA-LA_JOYA.xlsx,AREQUIPA,AREQUIPA,LA_JOYA
040109,AREQUIPA-AREQUIPA-MARIANO_MELGAR,Intersecciones/excels/AREQUIPA-AREQUIPA-MARIANO_MELGAR.xlsx,AREQUIPA,AREQUIPA,MARIANO_MELGAR
