ubigeo_gestor,archivo_abs,archivo_rel,n_colegios
010101,D:\GITHUB\PI2026\ZonasEscolares\excels\AMAZONAS-CHACHAPOYAS-CHACHAPOYAS.xlsx,ZonasEscolares\excels\AMAZONAS-CHACHAPOYAS-CHACHAPOYAS.xlsx,15
020105,D:\GITHUB\PI2026\ZonasEscolares\excels\ANCASH-HUARAZ-INDEPENDENCIA.xlsx,ZonasEscolares\excels\ANCASH-HUARAZ-INDEPENDENCIA.xlsx,29
020601,D:\GITHUB\PI2026\ZonasEscolares\excels\ANCASH-CARHUAZ-CARHUAZ.xlsx,ZonasEscolares\excels\ANCASH-CARHUAZ-CARHUAZ.xlsx,13
021601,D:\GITHUB\PI2026\ZonasEscolares\excels\ANCASH-POMABAMBA-POMABAMBA.xlsx,ZonasEscolares\excels\ANCASH-POMABAMBA-POMABAMBA.xlsx,4
021801,D:\GITHUB\PI2026\ZonasEscolares\excels\ANCASH-SANTA-CHIMBOTE.xlsx,ZonasEscolares\excels\ANCASH-SANTA-CHIMBOTE.xlsx,69
021809,D:\GITHUB\PI2026\ZonasEscolares\excels\ANCASH-SANTA-NUEVO_CHIMBOTE.xlsx,ZonasEscolares\excels\ANCASH-SANTA-NUEVO_CHIMBOTE.xlsx,46
030101,D:\GITHUB\PI2026\ZonasEscolares\excels\APURIMAC-ABANCAY-ABANCAY.xlsx,ZonasEscolares\excels\APURIMAC-ABANCAY-ABANCAY.xlsx,30
030601,D:\GITHUB\PI2026\ZonasEscolares\excels\APURIMAC-CHINCHEROS-CHINCHEROS.xlsx,ZonasEscolares\excels\APURIMAC-CHINCHEROS-CHINCHEROS.xlsx,8
040101,D:\GITHUB\PI2026\ZonasEscolares\excels\AREQUIPA-AREQUIPA-AREQUIPA.xlsx,ZonasEscolares\excels\AREQUIPA-AREQUIPA-AREQUIPA.xlsx,87
040102,D:\GITHUB\PI2026\ZonasEscolares\excels\AREQUIPA-AREQUIPA-ALTO_SELVA_ALEGRE.xlsx,ZonasEscolares\excels\AREQUIPA-AREQUIPA-ALTO_SELVA_ALEGRE.xlsx,19
040103,D:\GITHUB\PI2026\ZonasEscolares\excels\AREQUIPA-AREQUIPA-CAYMA.xlsx,ZonasEscolares\excels\AREQUIPA-AREQUIPA-CAYMA.xlsx,32
040104,D:\GITHUB\PI2026\ZonasEscolares\excels\AREQUIPA-AREQUIPA-CERRO_COLORADO.xlsx,ZonasEscolares\excels\AREQUIPA-AREQUIPA-CERRO_COLORADO.xlsx,84
040107,D:\GITHUB\PI2026\ZonasEscolares\excels\AREQUIPA-AREQUIPA-JACOBO_HUNTER.xlsx,ZonasEscolares\excels\AREQUIPA-AREQUIPA-JACOBO_HUNTER.xlsx,17
040108,D:\GITHUB\PI2026\ZonasEscolares\excels\AREQUIPA-AREQUIPA-LA_JOYA.xlsx,ZonasEscolares\excels\AREQUIPA-AREQUIPA-LA_JOYA.xlsx,11
040109,D:\GITHUB\PI2026\ZonasEscolares\excels\AREQUIPA-AREQUIPA-MARIANO_MELGAR.xlsx,ZonasEscolares\excels\AREQUIPA-AREQUIPA-MARIANO_MELGAR.xlsx,19
