ubigeo_gestor,ubigeo_original,codigo_ce,descripcion,latitud,longitud,alumnos,docentes,siniestros,mantenimiento,competencia_via
010101,010101,19,001 NIÑO JESUS DE PRAGA,-6.23176,-77.87243,202,11,0,False,distrital
010101,010101,24,002 RAQUEL ROBLES DE ROMAN,-6.23159,-77.87002,222,11,0,False,distrital
010101,010101,142,18002 MARIA AUXILIADORA,-6.23219,-77.87233,811,41,0,False,distrital
010101,010101,203,18288 ISABEL LINCH DE RUBIO,-6.228869,-77.871671,678,33,0,False,distrital
010101,010101,241,SEMINARIO JESUS MARIA,-6.22841,-77.87426,869,50,0,False,distrital
010101,010101,255,SAN JUAN DE LA LIBERTAD,-6.229318,-77.865568,1992,92,0,False,provincial
010101,010101,260,VIRGEN ASUNTA,-6.23028,-77.86994,1221,64,0,False,distrital
010101,010101,279,SANTIAGO ANTUNEZ DE MAYOLO,-6.229541,-77.864243,490,39,0,False,distrital
010101,010101,316,18001 MIGUEL RUBIO,-6.23203,-77.86993,550,34,0,False,distrital
010101,010109,868,18041 PURIFICACION CULQUI PUIQUIN,-6.4843,-77.8161,214,16,0,False,provincial
160112,160112,2061,61006 SARA ALICIA SABERBEIN PINEDO,-3.76143,-73.24947,518,29,0,False,distrital
140116,140116,8553,DIVINO JESUS,-6.8923,-79.56377,427,24,1,False,distrital
150143,150143,9637,MATTER PURISIMA,-12.14958,-76.94968,360,15,0,False,distrital
060901,060904,12319,CESAR ABRAHAM VALLEJO,-5.390611,-78.907475,357,29,0,False,provincial
150110,150110,14945,ANGELITOS DE SANTA MARIA,-11.91243,-77.02597,213,11,0,False,distrital
020105,020105,16100,123,-9.51885,-77.53191,433,17,0,False,distrital
020105,020105,16138,282 SAN JUAN BAUTISTA,-9.51412,-77.52615,211,10,0,False,distrital
020105,020105,16195,CISEA NICRUPAMPA,-9.520557,-77.523379,430,21,0,False,distrital
020105,020105,16204,CISEA PALMIRA,-9.50686,-77.5344,269,13,0,False,distrital
020105,020105,16218,GRAN MARISCAL TORIBIO DE LUZURIAGA,-9.51493,-77.53052,2507,146,1,False,distrital
020105,020105,16223,86002 JORGE BASADRE GROHMAN,-9.52085,-77.52594,1602,82,0,False,distrital
020105,020105,16237,86017 SABIO ANTONIO RAIMONDI,-9.52182,-77.52908,1447,74,0,False,distrital
020105,020105,16256,86030 NIÑO JESUS DE PRAGA,-9.535779,-77.56177,278,32,0,False,distrital
020105,020105,16261,86031 NUESTRA SEÑORA DE LA ASUNCION,-9.475549,-77.537877,291,25,0,False,distrital
020105,020105,16280,86034 SAN MARTIN DE PORRES,-9.513374,-77.503626,271,22,0,False,distrital
020105,020105,16360,86040 SUIZA PERUANA,-9.49743,-77.5365,494,28,0,False,distrital
020105,020105,16652,87003-1 JESUS NAZARENO,-9.51147,-77.52581,295,18,0,False,distrital
020105,020105,16751,COLEGIO PARROQUIAL NUESTRA SEÑORA DEL SAGRADO CORAZON DE JESUS,-9.515578,-77.532393,1393,66,0,False,distrital
020105,020105,16765,ALBERT EINSTEIN,-9.51802,-77.53124,1482,81,0,False,distrital
020105,020105,16826,EL PINAR COLLEGE,-9.513839,-77.510155,489,46,0,False,distrital
020601,020601,20116,070,-9.27964,-77.645572,358,16,0,True,distrital
020601,020602,20258,86314 DIVINO MAESTRO,-9.284394,-77.59685,220,20,0,False,provincial
020601,020601,20357,86269 MARIA AUXILIADORA,-9.278441,-77.647621,1566,77,0,True,distrital
020601,020601,20362,NUESTRA SEÑORA DE LAS MERCEDES,-9.28351174735088,-77.6460277194692,1133,73,0,True,distrital
020601,020601,20423,MI PEQUEÑO MUNDO,-9.28127,-77.642674,28,3,0,True,distrital
020601,020604,20606,86278 MARIO TORRES MEZARINA,-9.357716,-77.599959,252,21,0,False,provincial
020601,020606,20772,86277 MARIO VAZQUEZ VARELA,-9.328795,-77.552866,266,20,1,False,provincial
020601,020606,20833,JOSE MARIA ARGUEDAS,-9.319845,-77.603679,328,36,0,False,provincial
020601,020608,20951,86894 FERMIN CARRION MATOS,-9.358824,-77.552072,242,19,0,False,provincial
130401,130403,23025,80408,-7.187,-79.5142,245,13,0,False,provincial
021601,021601,31394,199,-8.8207,-77.45714,183,9,0,False,provincial
021601,021601,31558,84001 ROSENDA SANCHEZ,-8.82117,-77.45604,701,39,0,False,distrital
021601,021601,31841,VIRGEN DEL SOCORRO,-8.81795,-77.46278,236,29,0,False,provincial
200104,200104,32082,PITAGORAS,-5.19107,-80.60361,291,13,0,False,distrital
021801,021801,33802,302 RUSO,-9.07639,-78.58864,468,20,0,False,distrital
021801,021801,33821,313,-9.09037,-78.5685,224,10,0,False,distrital
021801,021801,33840,316 NIÑO JESUS,-9.07039,-78.59414,254,13,0,False,distrital
021801,021801,33939,1535 LA HUACA TESORO DE LOS NIÑOS,-9.051293,-78.587742,239,10,0,False,distrital
021801,021801,33963,1542 CAPULLITOS DE AMOR,-9.05762,-78.58641,404,15,0,False,distrital
021801,021801,34000,1546,-9.07327,-78.57636,200,9,0,False,distrital
021801,021801,34062,88232 NUESTRA VIRGEN MARIA,-9.0774,-78.58079,519,24,0,False,distrital
021801,021801,34104,89013,-9.07191,-78.58342,254,18,0,False,distrital
021801,021801,34180,88001,-9.07415,-78.59419,728,32,0,False,distrital
021801,021801,34217,88005 CORAZON DE JESUS,-9.07792,-78.58883,1109,48,0,False,distrital
021801,021801,34222,88008 MANUEL PERALTA HURTADO,-9.0889,-78.57471,280,18,0,False,distrital
